                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.86781,                 2.9938,                0.30051,                  0.635,                 1.1141,                0.93258,                0.81049,                 0.9096,                0.67856,                 0.7072,                0.54231,                0.47826,                0.28361,                 1.0445,                 4.2549,                0.33693,                0.76819,                  1.302,              0.0012278,              0.0012278,              0.0012278
                     42,                0.87222,                 2.9789,                0.30168,                0.63625,                 1.1193,                0.93252,                0.81406,                0.90583,                0.67839,                0.71321,                0.53947,                 0.4866,                0.28474,                  1.025,                 4.2768,                0.34482,                 0.7644,                 1.3024,               0.001208,               0.001208,               0.001208
                     43,                0.86165,                  2.983,                0.29967,                0.63543,                  1.109,                0.90743,                0.84029,                0.90415,                0.67274,                0.74777,                0.56185,                0.52392,                0.29905,                 1.0492,                 4.0889,                0.34886,                0.77642,                 1.3247,              0.0011882,              0.0011882,              0.0011882
                     44,                0.86216,                 2.9861,                0.30014,                0.62484,                  1.111,                0.92504,                0.83194,                0.91318,                 0.6816,                0.69538,                0.54961,                0.48185,                0.29019,                  1.019,                 4.1123,                0.33816,                0.76032,                 1.2774,              0.0011684,              0.0011684,              0.0011684
                     45,                0.86828,                 2.8971,                 0.3016,                0.62388,                 1.1103,                0.93498,                0.82273,                 0.9127,                0.68443,                0.75373,                0.55423,                0.53101,                0.31998,                  1.016,                 4.0472,                 0.3332,                0.73678,                 1.2878,              0.0011486,              0.0011486,              0.0011486
                     46,                0.85562,                 2.8794,                0.29845,                0.62544,                 1.1055,                0.92464,                0.82241,                0.91449,                0.68682,                0.71087,                0.54112,                0.45515,                0.25636,                0.99512,                 4.2772,                 0.3399,                0.74384,                 1.2693,              0.0011288,              0.0011288,              0.0011288
                     47,                0.83826,                    2.8,                0.29038,                0.60452,                 1.0941,                0.93427,                0.83016,                0.91192,                0.68389,                0.73069,                0.54708,                0.48449,                0.29815,                 1.0043,                 4.1414,                0.33712,                0.74513,                 1.2829,               0.001109,               0.001109,               0.001109
                     48,                0.83654,                 2.7849,                0.28992,                 0.6011,                 1.1005,                0.92241,                0.82181,                0.91481,                0.68344,                0.76158,                0.60548,                0.55932,                 0.3254,                 1.0087,                  3.903,                0.33836,                0.75556,                  1.275,              0.0010892,              0.0010892,              0.0010892
                     49,                0.83661,                 2.8153,                0.29461,                0.60807,                 1.0981,                0.92053,                0.83909,                 0.9158,                0.67793,                0.71695,                0.53754,                0.48534,                0.29508,                 1.0115,                 4.3065,                 0.3422,                0.75875,                 1.2745,              0.0010694,              0.0010694,              0.0010694
                     50,                0.84056,                 2.8323,                0.29123,                0.60996,                 1.1052,                0.94656,                0.81645,                0.91646,                0.68563,                0.74315,                0.54231,                0.50839,                 0.3152,                 1.0212,                 4.1606,                0.34758,                0.74995,                 1.2878,              0.0010496,              0.0010496,              0.0010496
