                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.85168,                 2.8232,                0.20129,                0.62125,                 1.1114,                0.94795,                0.81381,                0.90992,                0.66712,                0.77555,                0.60173,                0.56134,                0.31972,                 1.0483,                 3.7434,                0.27768,                0.78388,                 1.3094,               0.000614,               0.000614,               0.000614
                     38,                0.84289,                 2.7859,                0.20114,                0.61351,                 1.1082,                0.91337,                0.83231,                0.90987,                  0.669,                0.75038,                 0.5672,                0.52774,                0.30123,                 1.0462,                 3.9064,                0.28029,                0.77684,                  1.299,              0.0005744,              0.0005744,              0.0005744
                     39,                0.82991,                 2.7496,                0.19804,                 0.6104,                 1.1037,                0.88858,                0.84217,                0.91027,                0.67507,                0.69152,                0.53623,                0.44304,                0.25515,                 1.0203,                 4.2584,                0.28989,                0.75761,                 1.2913,              0.0005348,              0.0005348,              0.0005348
                     40,                0.82091,                 2.7733,                0.20264,                0.60525,                 1.1045,                0.93595,                0.83354,                0.91482,                0.67187,                0.73929,                0.59063,                0.52602,                0.30161,                 1.0117,                 3.9196,                0.27913,                  0.756,                 1.2877,              0.0004952,              0.0004952,              0.0004952
                     41,                0.78082,                  2.451,                 0.1523,                 0.5242,                 1.0724,                0.93595,                0.81998,                0.90967,                0.67186,                0.72858,                0.56967,                0.51112,                0.29615,                 1.0164,                 3.9901,                0.28164,                0.76817,                 1.2876,              0.0004952,              0.0004952,              0.0004952
                     42,                0.76565,                  2.431,                  0.151,                 0.5065,                  1.075,                0.92769,                0.82984,                0.91815,                0.68147,                0.80921,                0.60667,                0.59061,                0.32758,                  1.004,                 3.6551,                0.27334,                0.75098,                 1.2816,               0.000416,               0.000416,               0.000416
                     43,                0.74822,                 2.3728,                 0.1471,                0.49366,                 1.0525,                0.94897,                0.82547,                0.91568,                0.68157,                  0.768,                0.60004,                0.57521,                  0.331,                 0.9981,                 3.7568,                0.27251,                0.72511,                 1.2771,              0.0003764,              0.0003764,              0.0003764
                     44,                0.73707,                 2.3103,                0.14709,                0.48369,                  1.058,                  0.928,                0.84228,                0.91724,                 0.6784,                   0.68,                0.53978,                0.47059,                0.27451,                  1.012,                 4.1646,                0.26725,                0.72505,                  1.291,              0.0003368,              0.0003368,              0.0003368
                     45,                0.72422,                 2.2641,                0.14421,                 0.4723,                 1.0534,                0.90965,                0.84415,                0.91328,                 0.6833,                0.74928,                0.60419,                0.55838,                0.32843,                 1.0049,                 3.7689,                 0.2675,                0.73064,                 1.2954,              0.0002972,              0.0002972,              0.0002972
                     46,                0.71654,                 2.2642,                  0.142,                0.46122,                 1.0417,                0.94072,                  0.836,                0.91813,                0.69342,                0.75977,                0.60447,                0.56487,                0.32845,                 0.9831,                 3.7539,                0.26596,                0.71055,                 1.2635,              0.0002576,              0.0002576,              0.0002576
                     47,                0.69987,                 2.2065,                0.14234,                0.45551,                 1.0312,                0.94997,                0.83724,                0.91928,                0.69573,                0.78087,                0.60637,                0.57704,                0.33467,                  0.978,                  3.625,                0.26132,                0.69984,                 1.2619,               0.000218,               0.000218,               0.000218
                     48,                0.69033,                 2.1938,                0.14212,                 0.4484,                 1.0242,                0.95441,                0.82614,                0.92017,                0.69526,                0.75125,                 0.5857,                0.54167,                0.32555,                0.97387,                 3.7198,                0.26421,                 0.7014,                 1.2584,              0.0001784,              0.0001784,              0.0001784
                     49,                0.66864,                 2.1347,                0.13872,                0.43891,                 1.0115,                0.94404,                 0.8434,                0.91965,                0.69385,                0.75318,                0.59186,                0.54948,                0.32944,                0.98181,                 3.6737,                0.26206,                0.70547,                 1.2664,              0.0001388,              0.0001388,              0.0001388
                     50,                0.67742,                 2.0949,                0.13929,                 0.4372,                 1.0222,                0.95222,                0.83724,                 0.9232,                0.69466,                0.77058,                0.60789,                0.57036,                0.33729,                0.96621,                 3.6093,                0.26039,                0.69199,                 1.2514,               9.92e-05,               9.92e-05,               9.92e-05
